app_name,GPSSample::en,GPSSample::es,GPSSample::fr,GPSSample::pt,GPSSample::ru,GPSSample::id
action_settings,Settings,Configuración,Paramètres,Configurações,Настройки,Pengaturan
action_sign_out,Sign Out,Cerrar sesión,Se déconnecter,Sair,Выйти из системы,Keluar
next,Next,Siguiente,Écran suivant,Seguinte,Следующий,Berikutnya
previous,Previous,Anterior,Écran précédent,Anterior,Предыдущий,Sebelumnya
manager,Manager,Gerente,Responsable,Gerente,Менеджер,Pengelola
client,Enumeration,Enumeración,Énumération,Enumeração,Перечисление,Pencacahan
connected_clients,Connected Clients,Clientes conectados,Clients connectés,Clientes ligados,Подключенные клиенты,Klien yang Terhubung
create_hotspot,Create Hotspot,Crear punto de acceso,Créer un hotspot,Criar ponto de acesso,Создать точку доступа,Buat Hotspot
create_server,Create Server,Crear servidor,Créer un serveur,Criar servidor,Создать сервер,Buat Server
create_qr_code,Create QR Code,Crear código QR,Créer un code QR,Criar código QR,Создать QR-код,Buat Kode QR
connect_hotspot,Connect To Hotspot,Conectar al punto de acceso,Se connecter au hotspot,Conectar-se a um ponto de acesso,Подключение к точке доступа,Hubungkan Ke Hotspot
registering_device,Registering Device,Registrando dispositivo ,Enregistrement de l'appareil,Registar dispositivo,Регистрация устройства,Mendaftarkan Perangkat
sending_command,Sending Command,Enviando comando,Envoi de la commande,Comando de envio,Отправка команды,Mengirim Perintah
sending_enum_data,Sending Enumeration Data,Enviando datos de enumeración,Envoi de données d'énumération,Enviar dados de enumeração,Отправка данных перечисления,Mengirim Data Pencacahan
receiving_data,Receiving Data,Recibiendo datos,Réception des données,Recebendo dados,Получение данных,Menerima data
configuration_received,Configuration Received,Configuración recibida,Configuration reçue,Configuração recebida,Полученная конфигурация,Konfigurasi Diterima
forgot_pin_questions,Father's middle name,Segundo nombre del padre,Deuxième prénom de votre père,Nome do meio do pai,Отчество отца,Nama ayah
forgot_pin_questions,Mother's maiden name,Apellido de soltera de la madre,Nom de jeune fille de votre mère,Nome de solteira da mãe,Девичья фамилия матери,Nama Ibu
forgot_pin_questions,Favorite Pet's name,El nombre de tu mascota favorita,Nom de votre animal de compagnie préféré,Nome do animal de estimação favorito,Имя любимого домашнего животного,Nama binatang kesayangan
forgot_pin_questions,Last 4 digits of cell phone #,Últimas 4 cifras del número de celular,4 derniers chiffre de votre numéro de téléphone portable,Últimos 4 dígitos do número de telemóvel,Последние 4 цифры номера мобильного телефона,4 digit terakhir ponsel#
forgot_pin_questions,Favorite Food,Comida favorita,Votre aliment/nourriture favorit(e),Comida favorita,Любимая еда,Makanan favorit
forgot_pin_questions,Birth Month,Mes de nacimiento,Mois de naissance,Mês de nascimento,Месяц рождения,Bulan lahir
forgot_pin_questions,Other Question,Otra pregunta,Autre question,Outra pergunta,Другой вопрос,Pertanyaan lain
distance_formats,Meters / Kilometers,Metros / Kilómetros,Mètres / Kilomètres,Metros / Quilômetros ,Метры / километры,Meter / Kilometer
distance_formats,Feet / Miles,Pies / Millas,Pieds / Miles,Pés / Milhas,Футы / Мили,Kaki / Mil
time_formats,12 hour (AM/PM),12 horas (AM/PM),12 heures (AM/PM),12 horas (AM/PM),12 часов (AM/PM),12 jam (AM/PM)
time_formats,24 hour,24 horas,24 heures,24 horas,24 часа,24 jam
field_types,Text,Texto,Texte,Texto,Текст,Teks
field_types,Number,Número,Nombre,Número,Число,Nomor
field_types,Date,Fecha,Date,Data,Дата,Tanggal
field_types,Checkbox,Casilla de chequeo,Case à cocher,Caixa de seleção,Флажок,kotak centang
field_types,Dropdown,Menú de opciones,Question déroulante,Lista suspensa,Выпадающее окно,tarik-turun
operators,Equal,Igual,Égal,Igual,Равно,Setara
operators,NotEqual,No igual,Inégal,Não igual,Не равно,Tidak sama
operators,LessThan,Menor que,Plus petit que,Menor que,Меньше чем,Kurang dari
operators,GreaterThan,Mayor que,Plus grand que,Maior que,Больше чем,Lebih besar dari
operators,GreaterThanOrEqual,Mayor que o igual,Plus grand ou égal à,Maior ou igual a,Больше чем или равно,Lebih BesarDariAtauSama
connectors,AND,Y,ET,E,И,DAN
connectors,OR,O,OU,OU,ИЛИ,ATAU
connectors,NOT,NO,PAS,NÃO,НЕ,BUKAN
