app_name	GPSSample::en	GPSSample::es	GPSSample::fr	GPSSample::pt	GPSSample::ru	GPSSample::in	GPSSample::tl	GPSSample::fa-rAF	GPSSample::ps	
action_settings	Settings	Configuración	Paramètres	Configurações	Настройки	Pengaturan	Mga setting 	تنظیمات	تنظیمات	
action_sign_out	Sign Out	Cerrar sesión	Se déconnecter	Sair	Выйти из системы	Keluar	Mag-sign out	خروج	وتل	
next	Next	Siguiente	Écran suivant	Seguinte	Далее	Berikutnya	Susunod	بعدی	بل	
previous	Previous	Anterior	Écran précédent	Anterior	Назад	Sebelumnya	Nakaraang	قبلی	مخکینی	
manager	Manager	Gerente	Responsable	Gerente	Менеджер	Pengelola	Manager	مدیر	مدیر	
client	Enumeration	Enumeración	Dénombrement	Enumeração	Регистрация	Pencacahan	Enumerasyon	شمارش	شماره کول	
connected_clients	Connected Clients	Clientes conectados	Clients connectés	Clientes ligados	Подключенные клиенты	Klien yang Terhubung	Mga Konektadong Kliyente	مشتریان متصل	وصل شوي مراجعین	
create_hotspot	Create Hotspot	Crear punto de acceso	Créer un hotspot	Criar ponto de acesso	Создать точку доступа	Buat Hotspot	Lumikha ng Hotspot	ایجاد نقطه داغ	هاټ سپاټ جوړ کړئ	
create_server	Create Server	Crear servidor	Créer un serveur	Criar servidor	Создать сервер	Buat Server	Lumikha ng Server	سرور بسازید	سرور جوړ کړئ	
create_qr_code	Create QR Code	Crear código QR	Créer un code QR	Criar código QR	Создать QR-код	Buat Kode QR	Lumikha ng QR Code	کد QR ایجاد کنید	کیو آر کوډ جوړ کړئ	
connect_hotspot	Connect To Hotspot	Conectar al punto de acceso	Se connecter au hotspot	Conectar-se a um ponto de acesso	Подключение к точке доступа	Hubungkan Ke Hotspot	Kumonekta sa Hotspot	اتصال به هات	له هاټ سپاټ سره وصل شئ	
registering_device	Registering Device	Registrando dispositivo 	Enregistrement de l'appareil	Registar dispositivo	Регистрация устройства	Mendaftarkan Perangkat	Pagrerehistro ng Device	ثبت دستگاه	د وسیلې ثبتول	
sending_command	Sending Command	Enviando comando	Envoi de la commande	Comando de envio	Отправка команды	Mengirim Perintah	Nagpapadala ng Utos	فرمان ارسال	د امر لیږل	
sending_enum_data	Sending Enumeration Data	Enviando datos de enumeración	Envoi de données de dénombrement	Enviar dados de enumeração	Отправка данных регистрации	Mengirim Data Pencacahan	Nagpapadala ng Data ng Enumeration	ارسال داده	د لیستولو معلوماتو لیږل	
receiving_data	Receiving Data	Recibiendo datos	Réception des données	Recebendo dados	Получение данных	Menerima data	Pagtanggap ng Data	دریافت داده	د معلوماتو ترلاسه کول	
configuration_received	Configuration Received	Configuración recibida	Configuration reçue	Configuração recebida	Конфигурация получена	Konfigurasi Diterima	Natanggap ang Configuration	پیکربندی دریافت شد	ترلاسه شوې تشکیلات	
forgot_pin_questions	Father's middle name	Segundo nombre del padre	Deuxième prénom de votre père	Nome do meio do pai	Отчество отца	Nama ayah	Panggitnang pangalan ng ama	نام میانی پدر	د پلار منځنی نوم	
forgot_pin_questions	Mother's maiden name	Apellido de soltera de la madre	Nom de jeune fille de votre mère	Nome de solteira da mãe	Девичья фамилия матери	Nama Ibu	Pangalan ng dalaga ng ina	نام خانوادگی پیش از ازدواج مادر	د مور د واده څخه مخکې تخلص	
forgot_pin_questions	Favorite Pet's name	El nombre de su mascota favorita	Nom de votre animal de compagnie préféré	Nome do animal de estimação favorito	Имя любимого домашнего животного	Nama binatang kesayangan	Pangalan ng Paboritong Alagang Hayop	نام حیوان خانگی مورد علاقه	د خوښې څاروي نوم	
forgot_pin_questions	Last 4 digits of cell phone #	Últimas 4 cifras del número de celular	4 derniers chiffres de votre numéro de téléphone portable	Últimos 4 dígitos do número de telemóvel	Последние 4 цифры номера мобильного телефона	4 digit terakhir ponsel#	Huling 4 na digit ng cell phone #	چهار رقم آخر شماره تلفن همراه	د ګرځنده تلیفون وروستي ۴ عددونه	
forgot_pin_questions	Favorite Food	Comida favorita	Votre aliment/nourriture favorit(e)	Comida favorita	Любимая еда	Makanan favorit	Paboritong Pagkain	غذای مورد علاقه	د خوښې خواړه	
forgot_pin_questions	Birth Month	Mes de nacimiento	Mois de naissance	Mês de nascimento	Месяц рождения	Bulan lahir	Buwan ng Kapanganakan	ماه تولد	د زېږون میاشت	
forgot_pin_questions	Other Question	Otra pregunta	Autre question	Outra pergunta	Другой вопрос	Pertanyaan lain	Iba pang Tanong	سوال دیگر	نورې پوښتنې	
distance_formats	Meters / Kilometers	Metros / Kilómetros	Mètres / Kilomètres	Metros / Quilômetros 	Метры / километры	Meter / Kilometer	Metro / Kilometro	مترها / کیلومترها	متره / کیلومتره	
distance_formats	Feet / Miles	Pies / Millas	Pieds / Miles	Pés / Milhas	Футы / Мили	Kaki / Mil	Talampakan / Milya	پا / مایل	فوټ / مایل	
time_formats	12 hour (AM/PM)	12 horas (AM/PM)	12 heures (AM/PM)	12 horas (AM/PM)	12 часов (AM/PM)	12 jam (AM/PM)	12 oras (AM/PM)	۱۲ ساعته (صبح/عصر)	۱۲ ساعته (سهار/ماسپښین)	
time_formats	24 hour	24 horas	24 heures	24 horas	24 часа	24 jam	24 oras	بیست و چهار ساعته	۲۴ ساعته	
field_types	Text	Texto	Texte	Texto	Текст	Teks	Text	متن	پیغام	
field_types	Number	Número	Nombre	Número	Число	Angka	Numero	شماره	شماره	
field_types	Date	Fecha	Date	Data	Дата	Tanggal	Petsa	تاریخ	نېټه	
field_types	Checkbox	Casilla de chequeo	Case à cocher	Caixa de seleção	Флажок	Kotak centang	Checkbox	خانهٔ تیک	چک باکس	
field_types	Dropdown	Menú de opciones	Question déroulante	Lista suspensa	Выпадающее окно	Menu Pilihan	Dropdown	منوی کشویی	ډراپ ډاون	
operators	Equal	Igual	Égal	Igual	Равно	Sama dengan	Kapantay	برابرها	برابر	
operators	NotEqual	No igual	Non égal	Não igual	Не равно	Tidak Sama Dengan	Hindi Pantay	برابر نیست	غیر مساوي	
operators	LessThan	Menor que	Plus petit que	Menor que	Меньше чем	Kurang dari	Mas mababa kaysa	کمتر از	له کم	
operators	GreaterThan	Mayor que	Plus grand que	Maior que	Больше чем	Lebih besar dari	Mas Dakila Kaysa	بزرگ	له زیات	
operators	GreaterThanOrEqual	Mayor que o igual	Plus grand ou égal à	Maior ou igual a	Больше чем или равно	Lebih BesarDariAtauSama	Higit sa O Katumbas	بزرگ	له زیات یا مساوي	
connectors	AND	Y	ET	E	И	DAN	AT	و	او	
connectors	OR	O	OU	OU	ИЛИ	ATAU	O	یا	یا	
connectors	NOT	NO	PAS	NÃO	НЕ	BUKAN	HINDI	نه	نه	
samling_methods	Simple Random Sampling	Muestreo aleatorio simple	Échantillonnage aléatoire simple	Amostragem aleatória simples	Простая случайная выборка	Contoh acak sederhana	Simple Random Sampling	نمونه گیری تصادفی ساده	ساده تصادفي نمونه	
samling_methods	Cluster Sampling	Muestreo por conglomerados	Échantillonnage en grappes	Amostragem por conglomerados	Кластерная выборка	Pengambilan Sampel Klaster	Cluster Sampling	نمونه گیری خوشه	ډله	
samling_methods	Subsets: May Overlap	Subconjuntos: pueden superponerse	Sous-ensembles : peuvent se chevaucher	Subconjuntos: Podem sobrepor-se	Подмножества: Могут пересекаться	Subset: Mungkin Tumpang Tindih	Mga Subset: Maaaring Mag-overlap	زیرمجموعه	فرعي ټولګي: ممکن تداخل ولري	
samling_methods	Strata: Mutually Exclusive	Estratos: Mutuamente excluyentes	Strates : mutuellement exclusives	Estratos: Mutuamente exclusivos	Страты: Взаимоисключающие	Strata: Saling Eksklusif	Strata: Mutually Exclusive	طبقات: به	طبقات: یو له بل سره غیر قابل ترکیب	
admin	Admin	Administrador	Administrateur	Administrador	Администратор	Administrator	Tagapangasiwa	مدیر	مدیر	
supervisor	Supervisor	Supervisor	Superviseur	Supervisor	Руководитель	Pengawas	Superbisor	سرپرست	څارونکی	
enumerator	Enumerator	Enumerador	Recenseur	Enumerador	Регистратор	Pencacah	Enumerator	مشمول	شمېرونکی	
surveyor	Surveyor	Encuestador	Arpenteur	Topógrafo	Исследователь	surveyor	Surveyor	نقشه	سروې کوونکی	
